"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Idaho","Ada County",59.6,56.3,63,6.7
"Idaho","Adams County",63.5,57.1,70.1,13
"Idaho","Bannock County",38,34,42.1,8.1
"Idaho","Bear Lake County",17.9,13.5,22.5,9
"Idaho","Benewah County",61.9,56.2,67.8,11.6
"Idaho","Bingham County",28.6,23.5,33.8,10.3
"Idaho","Blaine County",66.7,63.5,70,6.5
"Idaho","Boise County",58.4,51.6,65.4,13.8
"Idaho","Bonner County",65.9,62,69.9,7.90000000000001
"Idaho","Bonneville County",35.6,30.7,40.8,10.1
"Idaho","Boundary County",59.1,53,65.5,12.5
"Idaho","Butte County",30.7,25,36.6,11.6
"Idaho","Camas County",55.2,48.4,62.1,13.7
"Idaho","Canyon County",46.3,38.8,54.1,15.3
"Idaho","Caribou County",24.6,18.5,31,12.5
"Idaho","Cassia County",27.6,20.8,34.7,13.9
"Idaho","Clark County",40.6,31.6,50,18.4
"Idaho","Clearwater County",61.8,56.4,67.5,11.1
"Idaho","Custer County",49,42,56.1,14.1
"Idaho","Elmore County",53.7,49.4,58.3,8.9
"Idaho","Franklin County",16.6,12.6,20.8,8.2
"Idaho","Fremont County",25.2,19.5,31.1,11.6
"Idaho","Gem County",51.5,46.5,56.7,10.2
"Idaho","Gooding County",44.5,38,51.2,13.2
"Idaho","Idaho",50,45.3,54.9,9.6
"Idaho","Idaho County",60.7,55.2,66.5,11.3
"Idaho","Jefferson County",23,17.5,28.8,11.3
"Idaho","Jerome County",47.1,39.4,55.1,15.7
"Idaho","Kootenai County",59.1,55.1,63.1,8
"Idaho","Latah County",63.4,57.7,69.3,11.6
"Idaho","Lemhi County",52,46.4,57.9,11.5
"Idaho","Lewis County",49.8,43.2,56.6,13.4
"Idaho","Lincoln County",45.2,36.9,53.9,17
"Idaho","Madison County",11,8.7,13.3,4.6
"Idaho","Minidoka County",35.5,28.5,42.8,14.3
"Idaho","Nez Perce County",62.1,58.2,66.1,7.89999999999999
"Idaho","Oneida County",19.3,14.7,24.1,9.4
"Idaho","Owyhee County",46.8,40,53.7,13.7
"Idaho","Payette County",48.8,41.6,56.3,14.7
"Idaho","Power County",36,30.3,42,11.7
"Idaho","Shoshone County",64.3,57.6,71.3,13.7
"Idaho","Teton County",47.9,40.3,55.9,15.6
"Idaho","Twin Falls County",47.9,43.8,52.1,8.3
"Idaho","Valley County",65.5,58.8,72.4,13.6
"Idaho","Washington County",51.3,44.2,58.6,14.4
